Time,Odom_X,Odom_Y,Odom_Yaw(deg),Cam_X,Cam_Y,Cam_Yaw(deg),Diff_X,Diff_Y,Diff_Yaw
0.00,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
0.05,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
0.10,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
0.15,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
0.20,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
0.25,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
0.30,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
0.35,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
0.41,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
0.45,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
0.50,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
0.55,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
0.60,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
0.65,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
0.70,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
0.76,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
0.81,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
0.86,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
0.91,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
0.95,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
1.00,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
1.05,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
1.10,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
1.16,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
1.20,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
1.26,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
1.31,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
1.36,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
1.41,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
1.46,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
1.51,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
