t,controller,trajectory,run_id,odom_x,odom_y,odom_yaw,odom_v,odom_w,desired_x,desired_y,desired_yaw,error_ex,error_ey,error_etheta,cmd_v,cmd_w
0.0,Backstepping,circle,sim,-0.04986630323340701,0.02998830304857304,-0.08726598460685646,0.00671037332607248,2.389964300067759e-05,0.0,0.0,0.0,0.052424407187017026,-0.025528053805369457,0.08726646259971647,0.041939525749613626,0.0
0.02,Backstepping,circle,sim,-0.049615641035700715,0.029966373068631074,-0.08726033100057831,0.012580983802867346,0.0002826803139070232,1.5999999999317335e-05,1.2800005499968847e-10,1.6000000000000003e-05,0.05230612662294161,-0.025526684187930554,0.08728198460685647,0.043438810650576774,0.0020598732490599457
0.04,Backstepping,circle,sim,-0.04926221056143366,0.02993545409246845,-0.0872438127428275,0.017739016547400573,0.0008259128875409967,6.399999995630935e-05,2.047999991816596e-09,6.400000000000001e-05,0.05210217983201913,-0.025522793388063826,0.0873243310005783,0.04486955075476822,0.004120316348966167
0.06,Backstepping,circle,sim,-0.04881756557792667,0.02989656284533028,-0.08720775525373364,0.022317128537397625,0.0018028744546927271,0.00014399999950233597,1.0368000014082668e-08,0.00014399999999999998,0.05182667291028353,-0.025516669218823285,0.0873878127428275,0.04624302207732286,0.006181759275715697
0.08,Backstepping,circle,sim,-0.048292414790388746,0.029850649170811077,-0.08715173624007251,0.026357703577870577,0.0028009506830564456,0.0002559999972037974,3.2767999869065534e-08,0.00025600000000000004,0.05149098266490687,-0.025508744640291733,0.08746375525373365,0.0475683220264274,0.008244404125743881
0.1,Backstepping,circle,sim,-0.047694656564352206,0.02979842120535449,-0.087070695615911,0.030001777329438765,0.004052031208075561,0.00039999998933333347,7.999999895869081e-08,0.0004000000000000001,0.05110584889513371,-0.025499018522478406,0.0875517362400725,0.04885403747067006,0.010308496517501814
0.12,Backstepping,circle,sim,-0.04703212036770092,0.029740587492227133,-0.0869640018518705,0.033252779968268975,0.00533468820202493,0.0005759999681495045,1.6588799545136368e-07,0.0005759999999999999,0.05067907250278912,-0.025487720814037287,0.087646695615911,0.050106408273477135,0.012374088578477441
0.14,Backstepping,circle,sim,-0.04631126992392539,0.029677740942308427,-0.08682645850070207,0.036179243052061785,0.006877167558420972,0.000783999919684952,3.0732798428356745e-07,0.0007840000000000002,0.05021849887577159,-0.025474850230168964,0.08774800185187051,0.051331708373870764,0.014441303714257182
0.16,Backstepping,circle,sim,-0.04553854498349416,0.02961047886143899,-0.08665814195277258,0.038782342022089356,0.008415827396474918,0.001023999821043039,5.242879541622614e-07,0.0010240000000000002,0.0497304866459476,-0.025460629374303236,0.08785045850070207,0.052535027775912346,0.016510009541017133
0.18,Backstepping,circle,sim,-0.0447188042364085,0.029539263294497405,-0.08645859818192257,0.041141419196698135,0.009977188542500343,0.0012959996372029743,8.398078824578548e-07,0.0012959999999999998,0.04922150550432688,-0.025445013079137744,0.08795414195277258,0.0537215415971577,0.018580249541582317
